Iteration,Surface Average 1 Monitor: Surface Average of Static Pressure (Pa)
1,643.3512573
3,1573.703613
5,2168.518311
7,2823.038818
9,3469.08374
11,4105.479004
13,4748.785156
16,5741.577148
18,6454.213379
20,7215.458984
22,8032.432129
24,8873.603516
26,9740.980469
28,10649.4502
31,12134.54785
33,13130.5
35,14202.99512
37,15284.25879
39,16436.06836
41,17611.27344
43,18824.35352
46,20672.49414
48,21917.80273
50,23161.32031
52,24459.22266
54,25751.9375
56,27021.41992
59,29077.02539
61,30414.30078
63,31746.75586
65,33086.54688
67,34385.13281
69,35697.05078
71,36935.76953
74,37221.92188
76,36726.96484
78,36289.98438
80,35879.22266
82,35305.39063
84,34664.76953
86,33837.11328
89,32461.27148
91,31409.16016
93,30258.87305
95,29096.43164
97,27872.12109
99,26597.24414
102,24588.4043
104,23198.52344
106,21731.56836
108,20269.76758
110,18696.125
112,17083.89258
114,15446.81641
117,12953.50293
119,11262.36035
121,9604.356445
123,7909.861816
125,6191.856445
127,4559.881836
129,2964.089844
132,524.2684937
134,-1065.915039
136,-2692.928223
138,-4274.498047
140,-5863.997559
142,-7420.710449
144,-8968.926758
147,-11184.93359
149,-12585.63086
151,-13965.42676
153,-15301.88379
155,-16629.66016
157,-17901.43555
160,-19656.79883
162,-20732.12109
164,-21686.88477
166,-22557.67773
168,-23376.57227
170,-24133.75195
172,-24909.57031
175,-25553.33008
177,-25926.25977
179,-26182.45313
181,-26332.66406
183,-26358.33203
185,-26288.44727
187,-26082.6582
190,-25597.0332
192,-25068.94336
194,-24423.39844
196,-23747.22656
198,-22874.82422
200,-21918.86523
203,-20246.51758
205,-19084.59766
207,-17816.88477
209,-16445.74609
211,-15036.19629
213,-13533.82324
215,-11965.81055
218,-9520.244141
220,-7878.278809
222,-6207.279297
224,-4541.192871
226,-2874.012939
228,-1224.474731
230,356.7371216
233,2719.931885
235,4226.458496
237,5651.714844
239,7082.615234
241,8483.484375
243,9828.116211
245,11146.63379
248,13106.59473
250,14340.17969
252,15522.77441
254,16714.67773
256,17858.92578
258,18989.64453
261,20508.21875
263,21464.49414
265,22382.53711
267,23270.54102
269,24121.13477
271,24894.08203
273,25601.67969
276,26551.2793
278,27094.10156
280,27669.32422
282,28033.05078
284,28389.4668
286,28660.00391
288,28854.50195
291,29062.57227
293,29118.14648
295,29126.95703
297,29041.21875
299,28852.0332
301,28610.60547
304,28090.08203
306,27667.38672
308,27159.60547
310,26581.50195
312,25952.75586
314,25228.67188
316,24494.1582
319,23212.43945
321,22333.39063
323,21453.26953
325,20513.45703
327,19542.45117
329,18566.47852
331,17572.95703
334,16101.11914
336,15107.57031
338,14062.40625
340,13020.31934
342,11947.36719
344,10870.33984
346,9758.555664
349,8079.072754
351,7001.13623
353,5865.368652
355,4724.770508
357,3633.498535
359,2506.808105
362,770.7538452
364,-372.9338379
366,-1450.58252
368,-2523.412354
370,-3558.584717
372,-4562.774414
374,-5559.447266
377,-6984.244141
379,-7915.225586
381,-8792.342773
383,-9596.3125
385,-10378.1123
387,-11136.125
389,-11824.34668
392,-12766.4668
394,-13325.20605
396,-13804.51074
398,-14248.01367
400,-14516.76953
402,-14760.21875
405,-14947.24023
407,-15041.0625
409,-15005.92383
411,-14953.36523
413,-14833.34375
415,-14619.31445
417,-14305.37207
420,-13705.125
422,-13227.96387
424,-12660.10547
426,-12016.1875
428,-11316.91309
430,-10539.50879
432,-9701.430664
435,-8376.213867
437,-7468.385742
439,-6507.260254
441,-5505.04248
443,-4481.565918
445,-3428.188232
448,-1814.315552
450,-743.4813232
452,326.0325012
454,1402.662842
456,2484.494385
458,3545.736816
460,4598.121582
463,6198.716797
465,7218.010742
467,8208.367188
469,9134.163086
471,10027.87012
473,10874.77051
475,11686.5459
478,12791.92676
480,13464.69727
482,14084.66406
484,14651.84961
486,15159.62109
488,15605.20117
490,15997.61328
493,16457.11133
495,16688.63867
497,16867.53125
499,16960.86914
501,17028.69336
503,17069.88477
506,16991.65625
508,16916.06055
510,16828.76367
512,16697.5918
514,16533.81836
516,16344.45117
518,16140.96094
521,15800.50586
523,15559.41895
525,15298.05957
527,15016.94727
529,14729.17676
531,14422.25488
533,14097.64258
536,13589.71387
538,13230.55566
540,12857.35742
542,12446.80762
544,12008.23828
546,11573.96973
549,10889.53027
551,10402.53906
553,9917.018555
555,9392.713867
557,8845.967773
559,8283.749023
561,7704.864746
564,6800.557129
566,6178.615234
568,5587.89502
570,4981.459473
572,4360.581543
574,3757.530762
576,3154.259521
579,2271.865234
581,1668.041626
583,1074.771729
585,476.9976807
587,-101.9413071
589,-658.8051147
591,-1220.13623
594,-2027.769775
596,-2543.318848
598,-3036.026367
600,-3521.390869
602,-3989.472412
604,-4436.391113
607,-5066.715332
609,-5413.474609
611,-5780.584961
613,-6043.718262
615,-6304.146484
617,-6495.571777
619,-6641.243164
622,-6732.491211
624,-6733
626,-6689.424316
628,-6581.986328
630,-6454.856445
632,-6287.378906
634,-6090.015625
637,-5728.356445
639,-5428.836426
641,-5092.542969
643,-4718.533203
645,-4316.046875
647,-3903.377197
650,-3243.604248
652,-2780.719238
654,-2317.213379
656,-1857.320801
658,-1380.601563
660,-905.9408569
662,-424.5584106
665,321.7895813
667,812.6710815
669,1326.18811
671,1846.697876
673,2364.610352
675,2887.30127
677,3407.452637
680,4166.375
682,4667.786621
684,5146.585449
686,5613.830078
688,6061.038086
690,6504.275879
692,6912.677246
695,7508.621582
697,7858.321777
699,8187.292969
701,8482.383789
703,8754.449219
705,9006.75293
708,9322.833984
710,9489.831055
712,9618.454102
714,9747.356445
716,9870.225586
718,9932.586914
720,9980.405273
723,10032.0166
725,10013.11035
727,10000.37598
729,9964.839844
731,9907.018555
733,9838.370117
735,9749.376953
738,9604.762695
740,9482.960938
742,9354.172852
744,9211.164063
746,9056.708008
748,8889.380859
751,8623.257813
753,8431.567383
755,8231.591797
757,8032.204102
759,7820.199219
761,7601.414063
763,7372.561523
766,7019.149414
768,6773.841309
770,6529.23291
772,6277.826172
774,6018.710449
776,5754.734375
778,5487.411621
781,5068.707031
783,4781.610352
785,4499.48291
787,4207.301758
789,3910.88501
791,3624.309326
794,3185.793457
796,2900.891602
798,2614.699219
800,2341.590576
802,2062.729004
804,1787.842285
806,1523.68689
809,1142.436523
811,898.7971802
813,658.7386475
815,423.7696228
817,200.9842987
819,-6.536725044
821,-203.575119
824,-462.1695557
826,-614.0510254
828,-762.8937988
830,-886.7293091
832,-1020.972839
834,-1107.5
836,-1191.683838
839,-1288.372437
841,-1332.864136
843,-1359.913086
845,-1381.309692
847,-1383.466309
849,-1371.29541
852,-1318.649902
854,-1257.503784
856,-1182.225586
858,-1087.79834
860,-978.5183716
862,-845.9046631
864,-699.7625122
867,-450.8236694
869,-261.2905579
871,-66.35327148
873,135.3717651
875,356.1606445
877,586.1096191
879,822.1507568
882,1183.248291
884,1417.489014
886,1657.819092
888,1895.727661
890,2132.736328
892,2363.295898
895,2705.385986
897,2928.684814
899,3140.832764
901,3347.43042
903,3545.856689
905,3739.990479
907,3924.803223
910,4186.576172
912,4352.73291
914,4510.188477
916,4654.15918
918,4793.636719
920,4921.119141
922,5046.758301
925,5222.330078
927,5325.741211
929,5421.722656
931,5505.155762
933,5593.558594
935,5655.946777
937,5717.978027
940,5800.119141
942,5843.086914
944,5879.861816
946,5905.290039
948,5926.294922
950,5941.188965
953,5950.796387
955,5949.868652
957,5939.686035
959,5930.104492
961,5918.019531
963,5890.715332
965,5858.999512
968,5818.519531
970,5788.709473
972,5748.720703
974,5704.010742
976,5658.880371
978,5610.626465
980,5563.921387
983,5489.724609
985,5440.777344
987,5386.859863
989,5330.086914
991,5265.393555
993,5191.52832
996,5049.168945
998,4942.796875
1000,4836.051758
1002,4722.323242
1004,4599.51123
1006,4476.142578
1008,4351.03418
1011,4160.718262
1013,4028.407471
1015,3893.648926
1017,3754.683105
1019,3614.213623
1021,3473.724609
1023,3332.1521
1026,3113.684082
1028,2970.722168
1030,2828.123291
1032,2687.102539
1034,2547.584229
1036,2414.603027
1038,2286.102051
1041,2101.577393
1043,1988.462402
1045,1883.272583
1047,1784.438599
1049,1690.191284
1051,1594.734497
1054,1467.421875
1056,1392.30957
1058,1320.120483
1060,1251.104248
1062,1188.519043
1064,1121.999878
1066,1070.768311
1069,1001.38147
1071,962.2281494
1073,925.2288208
1075,894.8227539
1077,872.2247314
1079,852.4761963
1081,835.3023682
1084,823.3505859
1086,817.2734375
1088,819.9348755
1090,826.3318481
1092,837.5164185
1094,859.3295898
1097,905.5043335
1099,942.7973633
1101,987.8855591
1103,1032.759399
1105,1086.73877
1107,1150.223633
1109,1214.721436
1112,1318.56897
1114,1394.041138
1116,1473.12561
1118,1557.138184
1120,1643.925415
1122,1734.97168
1124,1835.557373
1127,1980.862427
1129,2081.839355
1131,2186.388916
1133,2292.111328
1135,2403.662354
1137,2519.354248
1139,2637.9646
1142,2812.092041
1144,2924.592041
1146,3038.928467
1148,3147.535156
1150,3253.846436
1152,3354.787109
1155,3510.550049
1157,3605.782227
1159,3702.421631
1161,3794.594727
1163,3881.610352
1165,3964.733154
1167,4045.166992
1170,4166.954102
1172,4240.80957
1174,4310.260742
1176,4373.218262
1178,4436.007813
1180,4495.125977
1182,4550.336426
1185,4629.119141
1187,4673.780762
1189,4709.419434
1191,4737.949707
1193,4763.225586
1195,4781.47998
1198,4796.026855
1200,4796.058594
1202,4791.097656
1204,4779.533691
1206,4759.40332
1208,4735.690918
1210,4704.388672
1213,4651.291016
1215,4611.519531
1217,4568.313477
1219,4522.264648
1221,4473.178711
1223,4424.539551
1225,4372.669922
1228,4300.974121
1230,4252.773926
1232,4202.150391
1234,4147.947266
1236,4090.412354
1238,4030.098389
1241,3938.814941
1243,3874.292725
1245,3809.547363
1247,3742.181152
1249,3674.220703
1251,3604.675293
1253,3536.21167
1256,3431.529053
1258,3362.601318
1260,3293.298096
1262,3223.219727
1264,3152.432617
1266,3084.02124
1268,3016.843018
1271,2917.324951
1273,2853.868408
1275,2790.072754
1277,2728.599609
1279,2666.628906
1281,2606.893311
1283,2550.562012
1286,2470.449707
1288,2424.465576
1290,2381.454834
1292,2341.750977
1294,2304.673828
1296,2269.293945
1299,2225.355225
1301,2201.458496
1303,2177.009277
1305,2156.408203
1307,2143.810303
1309,2131.354248
1311,2122.296875
1314,2113.161133
1316,2111.317139
1318,2110.903076
1320,2113.580078
1322,2119.9021
1324,2125.315186
1326,2137.181885
1329,2154.024658
1331,2171.267822
1333,2193.049072
1335,2217.139893
1337,2246.664307
1339,2280.240234
1342,2334.102295
1344,2374.46582
1346,2416.644043
1348,2462.484619
1350,2512.379395
1352,2563.858398
1354,2615.863525
1357,2697.813965
1359,2753.727539
1361,2808.723877
1363,2863.741943
1365,2918.851807
1367,2977.052002
1369,3033.752686
1372,3117.927246
1374,3172.366943
1376,3228.658447
1378,3283.0896
1380,3338.384033
1382,3390.597168
1384,3439.879883
1387,3511.469482
1389,3557.591309
1391,3602.17041
1393,3644.088379
1395,3684.23291
1397,3720.327148
1400,3768.657227
1402,3797.634766
1404,3824.484131
1406,3850.543213
1408,3870.646973
1410,3887.410889
1412,3903.414551
1415,3925.893311
1417,3936.915527
1419,3945.172852
1421,3951.878662
1423,3957.021484
1425,3960.233643
1427,3961.640869
1430,3962.4104
1432,3962.316895
1434,3960.501953
1436,3957.551514
1438,3955.072266
1440,3950.460938
1443,3941.599121
1445,3934.647705
1447,3925.66748
1449,3915.35498
1451,3902.882568
1453,3887.995361
1455,3873.572021
1458,3845.550293
1460,3823.051758
1462,3799.56543
1464,3774.721436
1466,3749.204346
1468,3723.729248
1470,3696.100342
1473,3654.606934
1475,3625.203613
1477,3596.172119
1479,3563.345947
1481,3530.28125
1483,3497.385742
1485,3463.585449
1488,3412.807373
1490,3378.58667
1492,3343.186279
1494,3304.878906
1496,3265.801758
1498,3227.556885
1501,3168.717041
1503,3129.96167
1505,3092.130371
1507,3053.785156
1509,3015.104004
1511,2976.766602
1513,2938.643311
1516,2881.839355
1518,2845.673096
1520,2810.509766
1522,2776.59082
1524,2743.827393
1526,2712.328613
1528,2682.411133
1531,2634.929199
1533,2610.69873
1535,2585.469727
1537,2562.27832
1539,2540.586914
1541,2520.368652
1544,2491.131348
1546,2473.711914
1548,2459.958008
1550,2447.878906
1552,2437.992676
1554,2430.469482
1556,2425.860596
1559,2421.904541
1561,2420.89624
1563,2422.941406
1565,2427.975342
1567,2432.286133
1569,2440.018066
1571,2448.137939
1574,2466.164795
1576,2481.106689
1578,2497.302734
1580,2514.871582
1582,2533.984131
1584,2554.590088
1587,2588.075684
1589,2613.9021
1591,2641.023193
1593,2669.891602
1595,2700.310547
1597,2731.742432
1599,2762.981445
1602,2811.12207
1604,2846.001465
1606,2880.338867
1608,2914.286621
1610,2949.8125
1612,2983.862793
1614,3018.752686
1617,3069.517822
1619,3103.045898
1621,3135.618652
1623,3167.974854
1625,3200.047852
1627,3231.522461
1629,3262.238281
1632,3306.853271
1634,3333.092285
1636,3357.327148
1638,3377.63916
1640,3396.981445
1642,3413.53418
1645,3432.783447
1647,3441.891357
1649,3447.859863
1651,3450.32251
1653,3450.696533
1655,3447.861084
1657,3442.398682
1660,3432.431152
1662,3423.060547
1664,3413.127441
1666,3403.310059
1668,3392.221924
1670,3379.320313
1672,3365.719727
1675,3343.694092
1677,3327.852539
1679,3310.692383
1681,3292.934326
1683,3274.352051
1685,3255.726563
1688,3226.22583
1690,3206.543457
1692,3186.923096
1694,3166.995605
1696,3147.858643
1698,3129.45752
1700,3110.63501
1703,3084.035645
1705,3066.537598
1707,3049.491211
1709,3031.877197
1711,3014.73999
1713,2998.015869
1715,2983.19458
1718,2962.428467
1720,2949.349121
1722,2936.397217
1724,2923.246582
1726,2911.244629
1728,2898.9729
1730,2885.188965
1733,2862.092529
1735,2841.543213
1737,2822.734619
1739,2804.611816
1741,2784.942627
1743,2765.923096
1746,2738.61084
1748,2722.011963
1750,2706.745605
1752,2691.98877
1754,2678.977295
1756,2666.075439
1758,2654.505127
1761,2638.163086
1763,2629.037842
1765,2620.708252
1767,2612.662109
1769,2606.16748
1771,2600.566406
1773,2596.65625
1776,2592.947754
1778,2594.10498
1780,2595.77002
1782,2599.066406
1784,2603.971924
1786,2611.639404
1789,2626.10083
1791,2638.336426
1793,2651.739502
1795,2666.175537
1797,2682.309326
1799,2699.833984
1801,2718.987793
1804,2749.291992
1806,2769.739014
1808,2791.10083
1810,2811.796387
1812,2833.834961
1814,2856.278076
1816,2878.200195
1819,2908.085693
1821,2930.271729
1823,2952.085938
1825,2973.329834
1827,2994.877441
1829,3016.516113
1831,3036.916748
1834,3063.865479
1836,3081.671387
1838,3097.876221
1840,3112.857178
1842,3126.219971
1844,3139.492188
1847,3156.693848
1849,3166.826416
1851,3175.460205
