cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,         density,      x-velocity,    y-coordinate,    z-coordinate,     x-face-area
         1, 1.200000010E-02,-3.816035576E-03,-2.402644604E-03, 6.140000153E+01,-2.218429744E-01,-3.816026030E-03,-2.402635524E-03, 0.000000000E+00
         2, 1.200000010E-02,-3.823813749E-03,-2.409990644E-03, 6.140000153E+01,-6.908470988E-01,-3.823799780E-03,-2.409977373E-03, 0.000000000E+00
         3, 1.200000010E-02,-3.833147697E-03,-2.418805845E-03, 6.140000153E+01,-1.193068147E+00,-3.833126975E-03,-2.418786520E-03, 0.000000000E+00
         4, 1.200000010E-02,-3.844348015E-03,-2.429384273E-03, 6.140000153E+01,-1.659167409E+00,-3.844317282E-03,-2.429355402E-03, 0.000000000E+00
         5, 1.200000010E-02,-3.857788863E-03,-2.442078199E-03, 6.140000153E+01,-2.042906046E+00,-3.857742995E-03,-2.442035358E-03, 0.000000000E+00
         6, 1.200000010E-02,-3.816035576E-03,-2.450862899E-03, 6.140000153E+01,-2.242273986E-01,-3.816026030E-03,-2.450854983E-03, 0.000000000E+00
         7, 1.200000010E-02,-3.823813749E-03,-2.457344672E-03, 6.140000153E+01,-6.875615716E-01,-3.823799780E-03,-2.457333030E-03, 0.000000000E+00
         8, 1.200000010E-02,-3.833147697E-03,-2.465122845E-03, 6.140000153E+01,-1.175465584E+00,-3.833126975E-03,-2.465105616E-03, 0.000000000E+00
         9, 1.200000010E-02,-3.844348015E-03,-2.474456793E-03, 6.140000153E+01,-1.623123527E+00,-3.844317282E-03,-2.474431181E-03, 0.000000000E+00
        10, 1.200000010E-02,-3.857788863E-03,-2.485657344E-03, 6.140000153E+01,-1.993483067E+00,-3.857742995E-03,-2.485619159E-03, 0.000000000E+00
        11, 1.200000010E-02,-3.816035576E-03,-2.499081427E-03, 6.140000153E+01,-2.208773941E-01,-3.816026030E-03,-2.499074442E-03, 0.000000000E+00
        12, 1.200000010E-02,-3.823813749E-03,-2.504698699E-03, 6.140000153E+01,-6.759715676E-01,-3.823799780E-03,-2.504688688E-03, 0.000000000E+00
        13, 1.200000010E-02,-3.833147697E-03,-2.511439845E-03, 6.140000153E+01,-1.153377295E+00,-3.833126975E-03,-2.511424944E-03, 0.000000000E+00
        14, 1.200000010E-02,-3.844348015E-03,-2.519529080E-03, 6.140000153E+01,-1.597168922E+00,-3.844317282E-03,-2.519506961E-03, 0.000000000E+00
        15, 1.200000010E-02,-3.857788863E-03,-2.529236255E-03, 6.140000153E+01,-1.977370858E+00,-3.857742995E-03,-2.529203193E-03, 0.000000000E+00
        16, 1.200000010E-02,-3.816035576E-03,-2.547299489E-03, 6.140000153E+01,-2.224017084E-01,-3.816026030E-03,-2.547293669E-03, 0.000000000E+00
        17, 1.200000010E-02,-3.823813749E-03,-2.552052960E-03, 6.140000153E+01,-6.818252802E-01,-3.823799780E-03,-2.552044112E-03, 0.000000000E+00
        18, 1.200000010E-02,-3.833147697E-03,-2.557756845E-03, 6.140000153E+01,-1.167425394E+00,-3.833126975E-03,-2.557744272E-03, 0.000000000E+00
        19, 1.200000010E-02,-3.844348015E-03,-2.564601600E-03, 6.140000153E+01,-1.628713965E+00,-3.844317282E-03,-2.564582974E-03, 0.000000000E+00
        20, 1.200000010E-02,-3.857788863E-03,-2.572815400E-03, 6.140000153E+01,-2.034639120E+00,-3.857742995E-03,-2.572787460E-03, 0.000000000E+00
        21, 1.200000010E-02,-3.816035576E-03,-2.595517784E-03, 6.140000153E+01,-2.324123830E-01,-3.816026030E-03,-2.595512895E-03, 0.000000000E+00
        22, 1.200000010E-02,-3.823813749E-03,-2.599406987E-03, 6.140000153E+01,-7.155059576E-01,-3.823799780E-03,-2.599399770E-03, 0.000000000E+00
        23, 1.200000010E-02,-3.833147697E-03,-2.604073845E-03, 6.140000153E+01,-1.230991125E+00,-3.833126975E-03,-2.604063367E-03, 0.000000000E+00
        24, 1.200000010E-02,-3.844348015E-03,-2.609674120E-03, 6.140000153E+01,-1.726540685E+00,-3.844317282E-03,-2.609658753E-03, 0.000000000E+00
        25, 1.200000010E-02,-3.857788863E-03,-2.616394311E-03, 6.140000153E+01,-2.163506031E+00,-3.857742995E-03,-2.616371494E-03, 0.000000000E+00
        26, 1.200000010E-02,-3.816035576E-03,-2.643735847E-03, 6.140000153E+01,-2.493781000E-01,-3.816026030E-03,-2.643732354E-03, 0.000000000E+00
        27, 1.200000010E-02,-3.823813749E-03,-2.646760782E-03, 6.140000153E+01,-7.710544467E-01,-3.823799780E-03,-2.646755427E-03, 0.000000000E+00
        28, 1.200000010E-02,-3.833147697E-03,-2.650390845E-03, 6.140000153E+01,-1.330393910E+00,-3.833126975E-03,-2.650382463E-03, 0.000000000E+00
        29, 1.200000010E-02,-3.844348015E-03,-2.654746408E-03, 6.140000153E+01,-1.865809560E+00,-3.844317282E-03,-2.654734533E-03, 0.000000000E+00
        30, 1.200000010E-02,-3.857788863E-03,-2.659973456E-03, 6.140000153E+01,-2.328808069E+00,-3.857742995E-03,-2.659955760E-03, 0.000000000E+00
        31, 1.200000010E-02,-3.816035576E-03,-2.691954374E-03, 6.140000153E+01,-2.708685398E-01,-3.816026030E-03,-2.691951813E-03, 0.000000000E+00
        32, 1.200000010E-02,-3.823813749E-03,-2.694114810E-03, 6.140000153E+01,-8.403111100E-01,-3.823799780E-03,-2.694111085E-03, 0.000000000E+00
        33, 1.200000010E-02,-3.833147697E-03,-2.696707612E-03, 6.140000153E+01,-1.449205995E+00,-3.833126975E-03,-2.696702024E-03, 0.000000000E+00
        34, 1.200000010E-02,-3.844348015E-03,-2.699818928E-03, 6.140000153E+01,-2.020818710E+00,-3.844317282E-03,-2.699810313E-03, 0.000000000E+00
        35, 1.200000010E-02,-3.857788863E-03,-2.703552367E-03, 6.140000153E+01,-2.498492002E+00,-3.857742995E-03,-2.703539561E-03, 0.000000000E+00
        36, 1.200000010E-02,-3.816035576E-03,-2.740172436E-03, 6.140000153E+01,-2.955614626E-01,-3.816026030E-03,-2.740171039E-03, 0.000000000E+00
        37, 1.200000010E-02,-3.823813749E-03,-2.741468837E-03, 6.140000153E+01,-9.188587666E-01,-3.823799780E-03,-2.741466742E-03, 0.000000000E+00
