cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity
         1, 7.000000216E-03,-3.907835111E-03,-8.115153760E-04,-9.920728803E-01
         2, 7.000000216E-03,-3.914808389E-03,-8.199576405E-04,-2.603246689E+00
         3, 7.000000216E-03,-3.923175856E-03,-8.300883928E-04,-3.652030230E+00
         4, 7.000000216E-03,-3.933217376E-03,-8.422452956E-04,-4.361959934E+00
         5, 7.000000216E-03,-3.945266828E-03,-8.568335325E-04,-4.905783653E+00
         6, 7.000000216E-03,-3.947694320E-03,-7.849078975E-04,-9.858861566E-01
         7, 7.000000216E-03,-3.953142092E-03,-7.944262470E-04,-2.590997696E+00
         8, 7.000000216E-03,-3.959679045E-03,-8.058482781E-04,-3.646077394E+00
         9, 7.000000216E-03,-3.967524040E-03,-8.195546106E-04,-4.362601757E+00
        10, 7.000000216E-03,-3.976937383E-03,-8.360022912E-04,-4.912900925E+00
        11, 7.000000216E-03,-3.991302103E-03,-7.666726597E-04,-9.240138531E-01
        12, 7.000000216E-03,-3.993554041E-03,-7.771353703E-04,-2.510638475E+00
        13, 7.000000216E-03,-3.996255808E-03,-7.896906463E-04,-3.590907812E+00
        14, 7.000000216E-03,-3.999498673E-03,-8.047570009E-04,-4.313685417E+00
        15, 7.000000216E-03,-4.003389739E-03,-8.228365332E-04,-4.856544971E+00
        16, 7.000000216E-03,-4.037488252E-03,-7.573332405E-04,-9.577422142E-01
        17, 7.000000216E-03,-4.036113154E-03,-7.681822171E-04,-2.549611330E+00
        18, 7.000000216E-03,-4.034462851E-03,-7.812010008E-04,-3.614867926E+00
        19, 7.000000216E-03,-4.032481927E-03,-7.968236459E-04,-4.328179836E+00
        20, 7.000000216E-03,-4.030105192E-03,-8.155707037E-04,-4.866514206E+00
        21, 7.000000216E-03,-4.085724242E-03,-7.572635659E-04,-1.030547857E+00
        22, 7.000000216E-03,-4.083166365E-03,-7.679593982E-04,-2.655639887E+00
        23, 7.000000216E-03,-4.080097657E-03,-7.807943621E-04,-3.690884352E+00
        24, 7.000000216E-03,-4.076414742E-03,-7.961963420E-04,-4.388307095E+00
        25, 7.000000216E-03,-4.071995616E-03,-8.146786713E-04,-4.918135643E+00
        26, 7.000000216E-03,-4.133657552E-03,-7.667999016E-04,-1.067071915E+00
        27, 7.000000216E-03,-4.131315276E-03,-7.775423001E-04,-2.712575674E+00
        28, 7.000000216E-03,-4.128504544E-03,-7.904332597E-04,-3.733685493E+00
        29, 7.000000216E-03,-4.125131760E-03,-8.059024112E-04,-4.424310207E+00
        30, 7.000000216E-03,-4.121084698E-03,-8.244654164E-04,-4.951220512E+00
        31, 7.000000216E-03,-4.178331234E-03,-7.853372372E-04,-1.037716031E+00
        32, 7.000000216E-03,-4.175140057E-03,-7.958001224E-04,-2.689455032E+00
        33, 7.000000216E-03,-4.171309993E-03,-8.083555731E-04,-3.722491264E+00
        34, 7.000000216E-03,-4.166715313E-03,-8.234222187E-04,-4.414232731E+00
        35, 7.000000216E-03,-4.161200952E-03,-8.415021002E-04,-4.936092854E+00
        36, 7.000000216E-03,-4.217592999E-03,-8.117479156E-04,-1.032925844E+00
        37, 7.000000216E-03,-4.211560823E-03,-8.207018254E-04,-2.707245350E+00
        38, 7.000000216E-03,-4.204323050E-03,-8.314464940E-04,-3.750678301E+00
        39, 7.000000216E-03,-4.195637070E-03,-8.443401312E-04,-4.441947937E+00
        40, 7.000000216E-03,-4.185214173E-03,-8.598125423E-04,-4.959806442E+00
        41, 7.000000216E-03,-3.874015296E-03,-1.154664904E-03,-1.098623514E+00
        42, 7.000000216E-03,-3.882457735E-03,-1.147691859E-03,-2.808528662E+00
        43, 7.000000216E-03,-3.873946844E-03,-8.454311173E-04,-1.008838415E+00
        44, 7.000000216E-03,-3.892588429E-03,-1.139323926E-03,-3.849665642E+00
        45, 7.000000216E-03,-3.882238641E-03,-8.526158053E-04,-2.632836819E+00
        46, 7.000000216E-03,-3.892188659E-03,-8.612373495E-04,-3.679449558E+00
        47, 7.000000216E-03,-3.904745448E-03,-1.129282638E-03,-4.555250168E+00
        48, 7.000000216E-03,-3.904128447E-03,-8.715832373E-04,-4.384861469E+00
        49, 7.000000216E-03,-3.919333220E-03,-1.117232954E-03,-5.087645531E+00
        50, 7.000000216E-03,-3.918456379E-03,-8.839982911E-04,-4.922558308E+00
        51, 7.000000216E-03,-3.847407876E-03,-1.114805578E-03,-1.098827600E+00
        52, 7.000000216E-03,-3.856926225E-03,-1.109357923E-03,-2.806517601E+00
        53, 7.000000216E-03,-3.868348198E-03,-1.102820737E-03,-3.846048594E+00
        54, 7.000000216E-03,-3.882054705E-03,-1.094976207E-03,-4.545280457E+00
        55, 7.000000216E-03,-3.898502328E-03,-1.085562748E-03,-5.070542336E+00
        56, 7.000000216E-03,-3.829172580E-03,-1.071198145E-03,-1.031814218E+00
        57, 7.000000216E-03,-3.839635290E-03,-1.068946323E-03,-2.721708298E+00
        58, 7.000000216E-03,-3.852190915E-03,-1.066244091E-03,-3.775736809E+00
        59, 7.000000216E-03,-3.867256921E-03,-1.063001342E-03,-4.471856117E+00
        60, 7.000000216E-03,-3.885336453E-03,-1.059110276E-03,-4.988360405E+00
        61, 7.000000216E-03,-3.819899168E-03,-1.024501747E-03,-1.109256268E+00
        62, 7.000000216E-03,-3.830893431E-03,-1.024755649E-03,-2.796847343E+00
        63, 7.000000216E-03,-3.844087012E-03,-1.025060425E-03,-3.810833693E+00
        64, 7.000000216E-03,-3.859919030E-03,-1.025426085E-03,-4.491819382E+00
        65, 7.000000216E-03,-3.878917079E-03,-1.025864971E-03,-5.010259151E+00
        66, 7.000000216E-03,-4.250984639E-03,-8.453350165E-04,-1.092864394E+00
        67, 7.000000216E-03,-4.242542200E-03,-8.523081779E-04,-2.790366650E+00
        68, 7.000000216E-03,-4.232411273E-03,-8.606760530E-04,-3.813921452E+00
        69, 7.000000216E-03,-4.220254719E-03,-8.707174566E-04,-4.499495983E+00
        70, 7.000000216E-03,-4.205666482E-03,-8.827671409E-04,-5.017781258E+00
        71, 7.000000216E-03,-3.819829552E-03,-9.762664558E-04,-1.072807550E+00
        72, 7.000000216E-03,-3.830670612E-03,-9.777023224E-04,-2.750194550E+00
        73, 7.000000216E-03,-3.843680257E-03,-9.794253856E-04,-3.768647432E+00
        74, 7.000000216E-03,-3.859291319E-03,-9.814931545E-04,-4.449165821E+00
        75, 7.000000216E-03,-3.878025105E-03,-9.839745471E-04,-4.965405464E+00
